#ID	#Layer	#Row	#ASIC addr.	#Mask (hex)
000	0	0	0	0xF7FFFFFF
001	0	0	1	0xFFFFFFFF
002	0	0	2	0xFFFFFFFF
003	0	0	3	0xFFFFFFFF
004	0	0	4	0xFFFFFFFF
005	0	0	5	0x00000000
010	0	1	0	0xFFFFFFFF
011	0	1	1	0xFFFFFFFF
012	0	1	2	0xFFFFFFFF
013	0	1	3	0xFFFFFFFF
014	0	1	4	0xFFFFFFFF
015	0	1	5	0x00000000
020	0	2	0	0x00000000
021	0	2	1	0x00000000
022	0	2	2	0x00000000
023	0	2	3	0x00000000
024	0	2	4	0x00000000
025	0	2	5	0x00000000
030	0	3	0	0xFFFFFFFF
031	0	3	1	0xFFFFFFFF
032	0	3	2	0xFFFFFFFF
033	0	3	3	0xFFFFFFFF
034	0	3	4	0xFFFFFFFF
035	0	3	5	0xFFFFFFFF
040	0	4	0	0x00000000
041	0	4	1	0xFFFFFFFF
042	0	4	2	0xFFFFFFFF
043	0	4	3	0xFFFFFFFF
044	0	4	4	0x00000000
045	0	4	5	0x00000000
050	0	5	0	0x00000000
051	0	5	1	0xFFFFFFFF
052	0	5	2	0xFFFFFFFF
053	0	5	3	0xFFFFFFFF
054	0	5	4	0x00000000
055	0	5	5	0x00000000
100	1	0	0	0x00000000
101	1	0	1	0xFFFFFFFF
102	1	0	2	0xFFFFFFFF
103	1	0	3	0xFFFFFFFF
104	1	0	4	0xFF9FFDFF
105	1	0	5	0xFFFFFFFF
110	1	1	0	0x00000000
111	1	1	1	0xFFFFFFFF
112	1	1	2	0xFFFFFFFF
113	1	1	3	0xFFFFFFFF
114	1	1	4	0xFFFFFFFF
115	1	1	5	0xFFFFFFFF
120	1	2	0	0xFFFFFFFF
121	1	2	1	0xFFFFFFFF
122	1	2	2	0xFFFFFFFF
123	1	2	3	0xFFFFFFFF
124	1	2	4	0xFFFFFFFF
125	1	2	5	0xFFFFFFFF
130	1	3	0	0xFFFFFFFF
131	1	3	1	0xFFFFFFFF
132	1	3	2	0xFFFFFFFF
133	1	3	3	0xFFFFFFFF
134	1	3	4	0xFFFFFFFF
135	1	3	5	0xFFFFFFFF
140	1	4	0	0xFFFFFFFF
141	1	4	1	0xFFFFFFFF
142	1	4	2	0xFFFFFFFF
143	1	4	3	0xFFFFFFFF
144	1	4	4	0xFFFFFFFF
145	1	4	5	0xFFFFFFFF
150	1	5	0	0xFFFFFFFF
151	1	5	1	0xFFFFFFFF
152	1	5	2	0xFFFFFFFF
153	1	5	3	0xFFFFFFFF
154	1	5	4	0xFFFFFFFF
155	1	5	5	0xFFFFFFFF
200	2	0	0	0xFFFFFFFF
201	2	0	1	0xFFFFFFFF
202	2	0	2	0xFFFFDFFF
203	2	0	3	0xFFFFE01F
204	2	0	4	0xFFFFFFFF
205	2	0	5	0xFFFFFFFF
210	2	1	0	0xFFFFFFFF
211	2	1	1	0xFFFFFFFF
212	2	1	2	0x00000000
213	2	1	3	0xFDBFF1FF
214	2	1	4	0xB88770BF
215	2	1	5	0xFF7FFFFF
220	2	2	0	0x00000000
221	2	2	1	0xFFFFFFFF
222	2	2	2	0xC00EF12F
223	2	2	3	0xFD07FF7F
224	2	2	4	0xFBFFFFFF
