#ID	#Layer	#Row	#Module	#Threshold
000	0	0	0	205
001	0	0	1	205
002	0	0	2	160
003	0	0	3	160
004	0	0	4	160
005	0	0	5	160
010	0	1	0	160
011	0	1	1	205
012	0	1	2	205
013	0	1	3	160
014	0	1	4	160
015	0	1	5	160
020	0	2	0	160
021	0	2	1	160
022	0	2	2	160
023	0	2	3	160
024	0	2	4	160
025	0	2	5	205
030	0	3	0	160
031	0	3	1	160
032	0	3	2	160
033	0	3	3	160
034	0	3	4	160
035	0	3	5	160
040	0	4	0	205
041	0	4	1	205
042	0	4	2	205
043	0	4	3	205
044	0	4	4	205
045	0	4	5	205
050	0	5	0	205
051	0	5	1	205
052	0	5	2	205
053	0	5	3	205
054	0	5	4	205
055	0	5	5	205
100	1	0	0	160
101	1	0	1	160
102	1	0	2	160
103	1	0	3	160
104	1	0	4	160
105	1	0	5	160
110	1	1	0	205
111	1	1	1	205
112	1	1	2	205
113	1	1	3	160
114	1	1	4	160
115	1	1	5	160
120	1	2	0	205
121	1	2	1	160
122	1	2	2	205
123	1	2	3	160
124	1	2	4	160
125	1	2	5	160
130	1	3	0	205
131	1	3	1	160
132	1	3	2	160
133	1	3	3	160
134	1	3	4	160
135	1	3	5	160
140	1	4	0	205
141	1	4	1	160
142	1	4	2	160
143	1	4	3	160
144	1	4	4	205
145	1	4	5	205
150	1	5	0	205
151	1	5	1	160
152	1	5	2	160
153	1	5	3	160
154	1	5	4	160
155	1	5	5	160
200	2	0	0	160
201	2	0	1	160
202	2	0	2	160
203	2	0	3	160
204	2	0	4	160
205	2	0	5	160
210	2	1	0	205
211	2	1	1	160
212	2	1	2	160
213	2	1	3	160
214	2	1	4	160
215	2	1	5	160
220	2	2	0	160
221	2	2	1	160
222	2	2	2	160
223	2	2	3	160
224	2	2	4	160
225	2	2	5	160
230	2	3	0	160
231	2	3	1	160
232	2	3	2	160
233	2	3	3	160
234	2	3	4	160
235	2	3	5	160
240	2	4	0	160
241	2	4	1	160
242	2	4	2	160
243	2	4	3	160
244	2	4	4	160
245	2	4	5	160
250	2	5	0	160
251	2	5	1	160
252	2	5	2	160
253	2	5	3	160
254	2	5	4	160
255	2	5	5	160
300	3	0	0	160
301	3	0	1	160
302	3	0	2	160
303	3	0	3	160
304	3	0	4	160
305	3	0	5	160
310	3	1	0	160
311	3	1	1	160
312	3	1	2	160
313	3	1	3	160
314	3	1	4	160
315	3	1	5	160
320	3	2	0	160
321	3	2	1	160
322	3	2	2	160
323	3	2	3	160
324	3	2	4	160
325	3	2	5	160
330	3	3	0	160
331	3	3	1	160
332	3	3	2	160
333	3	3	3	160
334	3	3	4	160
335	3	3	5	160
340	3	4	0	160
341	3	4	1	160
342	3	4	2	160
343	3	4	3	160
344	3	4	4	160
345	3	4	5	160
350	3	5	0	160
351	3	5	1	160
352	3	5	2	160
353	3	5	3	160
354	3	5	4	160
355	3	5	5	160
400	4	0	0	160
401	4	0	1	160
402	4	0	2	160
403	4	0	3	160
404	4	0	4	160
405	4	0	5	160
410	4	1	0	160
411	4	1	1	160
412	4	1	2	160
413	4	1	3	160
414	4	1	4	160
415	4	1	5	160
420	4	2	0	160
421	4	2	1	160
422	4	2	2	160
423	4	2	3	160
424	4	2	4	160
425	4	2	5	160
430	4	3	0	160
431	4	3	1	160
432	4	3	2	160
433	4	3	3	160
434	4	3	4	160
435	4	3	5	160
440	4	4	0	160
441	4	4	1	160
442	4	4	2	160
443	4	4	3	160
444	4	4	4	160
445	4	4	5	160
450	4	5	0	160
451	4	5	1	160
452	4	5	2	160
453	4	5	3	160
454	4	5	4	160
455	4	5	5	160
500	5	0	0	160
501	5	0	1	160
502	5	0	2	160
503	5	0	3	160
504	5	0	4	160
505	5	0	5	160
510	5	1	0	160
511	5	1	1	160
512	5	1	2	160
513	5	1	3	160
514	5	1	4	160
515	5	1	5	160
520	5	2	0	160
521	5	2	1	160
522	5	2	2	160
523	5	2	3	160
524	5	2	4	160
525	5	2	5	160
530	5	3	0	160
531	5	3	1	160
532	5	3	2	160
533	5	3	3	160
534	5	3	4	160
535	5	3	5	160
540	5	4	0	160
541	5	4	1	160
542	5	4	2	160
543	5	4	3	160
544	5	4	4	160
545	5	4	5	160
550	5	5	0	160
551	5	5	1	160
552	5	5	2	160
553	5	5	3	160
554	5	5	4	160
555	5	5	5	160
600	6	0	0	160
601	6	0	1	160
602	6	0	2	160
603	6	0	3	160
604	6	0	4	160
605	6	0	5	160
610	6	1	0	160
611	6	1	1	160
612	6	1	2	160
613	6	1	3	160
614	6	1	4	160
615	6	1	5	160
620	6	2	0	160
621	6	2	1	160
622	6	2	2	160
623	6	2	3	160
624	6	2	4	160
625	6	2	5	160
630	6	3	0	160
631	6	3	1	160
632	6	3	2	160
633	6	3	3	160
634	6	3	4	160
635	6	3	5	160
640	6	4	0	160
641	6	4	1	160
642	6	4	2	160
643	6	4	3	160
644	6	4	4	160
645	6	4	5	160
650	6	5	0	160
651	6	5	1	160
652	6	5	2	160
653	6	5	3	160
654	6	5	4	160
655	6	5	5	160
