Layer	Row	Module	Channel	Pedestal	Sigma
0	0	0	0	118.503	2.726
0	0	0	1	158.945	2.812
0	0	0	2	121.002	2.607
0	0	0	3	160.568	2.767
0	0	0	4	148.654	2.625
0	0	0	5	168.569	2.525
0	0	0	6	117.436	2.600
0	0	0	7	104.183	2.423
0	0	0	8	116.187	3.078
0	0	0	9	127.797	2.932
0	0	0	10	133.859	2.737
0	0	0	11	168.907	2.726
0	0	0	12	115.540	2.763
0	0	0	13	141.971	3.210
0	0	0	14	113.917	3.489
0	0	0	15	152.503	4.391
0	0	0	16	135.178	4.087
0	0	0	17	111.330	3.199
0	0	0	18	142.354	3.045
0	0	0	19	136.991	2.727
0	0	0	20	137.432	2.852
0	0	0	21	149.274	2.803
0	0	0	22	138.285	2.615
0	0	0	23	153.417	2.959
0	0	0	24	140.657	2.619
0	0	0	25	178.692	2.536
0	0	0	26	138.243	2.618
0	0	0	27	1067.331	3.001
0	0	0	28	132.818	2.483
0	0	0	29	151.122	2.793
0	0	0	30	93.369	2.474
0	0	0	31	196.132	2.468
0	0	1	0	104.928	2.243
0	0	1	1	82.306	1.949
0	0	1	2	89.089	2.141
0	0	1	3	108.350	2.218
0	0	1	4	93.448	2.292
0	0	1	5	150.531	2.473
0	0	1	6	121.469	2.345
0	0	1	7	105.866	2.195
0	0	1	8	123.920	2.693
0	0	1	9	84.938	2.198
0	0	1	10	147.196	2.593
0	0	1	11	99.701	2.399
0	0	1	12	91.061	2.437
0	0	1	13	102.267	2.814
0	0	1	14	154.043	2.942
0	0	1	15	69.586	3.070
0	0	1	16	122.680	2.419
0	0	1	17	74.952	1.937
0	0	1	18	70.605	1.963
0	0	1	19	81.526	1.974
0	0	1	20	123.802	2.253
0	0	1	21	104.700	2.316
0	0	1	22	75.105	2.095
0	0	1	23	89.393	2.296
0	0	1	24	133.837	2.780
0	0	1	25	99.483	2.013
0	0	1	26	83.601	1.996
0	0	1	27	136.101	2.434
0	0	1	28	145.298	2.294
0	0	1	29	133.761	2.312
0	0	1	30	82.230	2.055
0	0	1	31	95.833	2.301
0	0	2	0	119.841	2.127
0	0	2	1	144.893	2.070
0	0	2	2	113.319	2.273
0	0	2	3	93.563	2.352
0	0	2	4	117.472	2.075
0	0	2	5	83.330	2.179
0	0	2	6	105.350	2.299
0	0	2	7	104.082	2.496
0	0	2	8	97.507	2.895
0	0	2	9	84.145	2.433
0	0	2	10	90.976	2.764
0	0	2	11	86.880	2.660
0	0	2	12	103.341	2.566
0	0	2	13	131.220	2.951
0	0	2	14	115.126	3.223
0	0	2	15	91.864	3.348
0	0	2	16	115.069	2.348
0	0	2	17	111.797	2.168
0	0	2	18	93.067	2.175
0	0	2	19	134.287	2.324
0	0	2	20	110.702	2.380
0	0	2	21	100.471	2.188
0	0	2	22	103.293	2.155
0	0	2	23	110.078	2.262
0	0	2	24	115.876	2.408
0	0	2	25	108.503	2.479
0	0	2	26	129.192	2.472
0	0	2	27	108.644	2.353
0	0	2	28	132.116	2.201
0	0	2	29	100.554	2.265
0	0	2	30	125.782	2.246
0	0	2	31	115.765	2.170
0	0	3	0	118.000	2.409
0	0	3	1	172.383	2.466
0	0	3	2	117.237	2.311
0	0	3	3	133.545	2.335
0	0	3	4	122.332	2.460
0	0	3	5	124.722	2.522
0	0	3	6	131.626	2.376
0	0	3	7	111.587	2.425
0	0	3	8	147.066	2.619
0	0	3	9	141.736	2.869
0	0	3	10	128.308	2.645
0	0	3	11	147.720	2.622
0	0	3	12	114.879	2.502
0	0	3	13	118.739	2.706
0	0	3	14	108.900	3.001
0	0	3	15	167.526	3.390
0	0	3	16	167.058	2.317
0	0	3	17	146.990	2.263
0	0	3	18	111.243	2.380
0	0	3	19	137.333	2.294
0	0	3	20	162.921	2.266
0	0	3	21	142.426	2.577
0	0	3	22	143.222	2.370
0	0	3	23	124.856	2.500
0	0	3	24	141.154	2.514
0	0	3	25	151.775	2.579
0	0	3	26	144.506	2.562
0	0	3	27	179.013	2.463
0	0	3	28	142.080	2.405
0	0	3	29	197.296	2.229
0	0	3	30	185.299	2.368
0	0	3	31	126.336	2.439
0	0	4	0	108.208	2.345
0	0	4	1	124.080	2.410
0	0	4	2	128.674	2.591
0	0	4	3	120.089	2.507
0	0	4	4	149.579	2.414
0	0	4	5	86.646	2.331
0	0	4	6	119.108	2.401
0	0	4	7	77.406	2.396
0	0	4	8	99.547	2.615
0	0	4	9	112.373	2.826
0	0	4	10	142.343	2.661
0	0	4	11	122.857	2.720
0	0	4	12	97.848	2.559
0	0	4	13	125.514	2.799
0	0	4	14	106.858	2.746
0	0	4	15	132.017	3.178
0	0	4	16	123.233	3.143
